web-scraper-order,web-scraper-start-url,nome,esporte,perfil,perfil-href,ficha,bio
"1649259797-73","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=17","Wallace Souza","Vôlei","Wallace Souza
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/wallace-leandro-de-souza/","Nome completo: Wallace Leandro de Souza

                                                        
                                                        
                                                                                                                    Data de nascimento: 26/06/1987

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Wallace começou a jogar vôlei para valer somente em 2004. Três anos depois, sagrava-se campeão mundial juvenil com a seleção brasileira. Quatro anos depois, o oposto era medalhista de ouro nos Jogos Pan-americanos Guadalajara 2011. Já nos Jogos Olímpicos Londres 2012, assumiu a vaga de titular na equipe de Bernardinho, substituindo o companheiro Leandro Vissotto, e não saiu mais."
"1649260498-173","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=14","Raquel Santos","Futebol","Raquel Santos
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/raquel-fernandes-dos-santos/","null","null"
"1649262245-423","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Douglas Vieira","Judô","Douglas Vieira
																													

														
															Judô
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/douglas-eduardo-vieira/","Nome completo: Douglas Eduardo Vieira

                                                        
                                                        
                                                                                                                    Data de nascimento: 17/06/1960

                                                        
                                                                                                                    Local de nascimento: Londrina, PR","Na modalidade esportiva que mais deu medalhas olímpicas ao Brasil, Douglas Vieira foi o primeiro atleta do país a chegar a uma final de Jogos Olímpicos. Para garantir sua vaga em Los Angeles 1984, o meio-pesado derrotou Aurélio Miguel na seletiva. Já no torneio olímpico, venceu quatro combates até encontrar o sul-coreano Hyeong-Ju na disputa pelo ouro, quando acabou derrotado por decisão dos árbitros, após sete minutos de combate."
"1649261957-383","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=7","Fernandinha Ferreira","Vôlei","Fernandinha Ferreira
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/fernanda-cristina-ferreira/","Nome completo: Fernanda Cristina Ferreira

                                                        
                                                        
                                                                                                                    Data de nascimento: 10/01/1980

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Fernandinha começou no vôlei como atacante, mas acabou virando levantadora por conta da baixa estatura. Sua convocação para Londres 2012 pode ser considerada uma surpresa, pois a atleta recebeu uma chance na seleção brasileira às vésperas dos Jogos Olímpicos e conseguiu a superar a concorrência de Fabíola, considerada a favorita para a segunda vaga na posição. Atuando no vôlei do Azerbaijão, Fernandinha era desconhecida do grande público, pois construíra boa parte de sua carreira no exterior."
"1649260809-217","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=12","Mosquito","Basquete","Mosquito
																													

														
															Basquete
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/carlos-domingos-massoni/","Nome completo: Carlos Domingos Massoni

                                                        
                                                        
                                                                                                                    Data de nascimento: 04/01/1939

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Mosquito foi um dos principais jogadores da história do basquete nacional, tendo atuado por praticamente uma década no Palmeiras e no Sírio. Antes de chegar à seleção brasileira adulta, passou também pela seleção juvenil. O armador participou das grandes conquistas do país na modalidade, tendo sido duas vezes medalhista olímpico, campeão mundial no Rio de Janeiro e vice-campeão pan-americano em São Paulo."
"1649261601-332","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=8","Janelson Carvalho","Vôlei","Janelson Carvalho
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/janelson-dos-santos-carvalho/","Nome completo: Janelson dos Santos Carvalho

                                                        
                                                        
                                                                                                                    Data de nascimento: 24/03/1969

                                                        
                                                                                                                    Local de nascimento: Porto Alegre, RS","O ponteiro gaúcho defendeu a seleção brasileira desde as categorias de base, onde foi campeão sul-americano juvenil. Na primeira metade dos anos 90, firmou-se na equipe adulta. Defendeu as principais equipes do país na época, como Pirelli, Banespa e Suzano, além de times italianos, caso do Milano."
"1649263198-562","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=1","Adriana Araújo","Boxe","Adriana Araújo
																													

														
															Boxe
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/adriana-dos-santos-araujo/","Nome completo: Adriana dos Santos Araújo

                                                        
                                                        
                                                                                                                    Data de nascimento: 04/11/1981

                                                        
                                                                                                                    Local de nascimento: Salvador, BA","Adriana Araújo começou no boxe aos 18 anos. Na época, a pugilista dividia sua rotina entre o esporte e o trabalho como agente de saúde. Depois, passou a treinar com Luiz Dórea, técnico que formou Acelino “Popó” Freitas. Em Londres 2012, quando o boxe feminino estreou no programa olímpico, Adriana trouxe a primeira medalha brasileira, a centésima do país na história da competição."
"1649260473-169","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=14","Reinaldo Conrad","Vela","Reinaldo Conrad
																													

														
															Vela
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/reinaldo-conrad/","Nome completo: Reinaldo Conrad

                                                        
                                                        
                                                                                                                    Data de nascimento: 31/05/1942

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Reinaldo Conrad foi a cinco Jogos Olímpicos. Em sua estreia, na edição de Roma 1960, competiu na classe Snipe e terminou na quinta colocação. Após ficar fora de Tóquio 1964, foi a Cidade do México 1968 já na classe Flying Dytchman. Ao lado de Burkhard Cordes, conquistou a primeira medalha olímpica da vela brasileira. Em Munique 1972, novamente com Cordes, terminou em quarto lugar. O segundo bronze olímpico de sua carreira veio em Montreal 1976, dessa vez ao lado de Peter Ficker. Na despedida, em Moscou 1980, competiu ao lado de Manfred Kaufmann e terminou em oitavo lugar. Apesar da idade avançada para os padrões do esporte, Conrad voltou a velejar em 2008, dessa vez na classe Star."
"1649262118-406","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=6","Érika Cristiano","Futebol","Érika Cristiano
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/erika-cristiano-dos-santos/","Nome completo: Érika Cristiano dos Santos

                                                        
                                                        
                                                                                                                    Data de nascimento: 04/02/1988

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Erika começou a jogar futebol aos sete anos, na escolinha de futebol do ex-jogador Marcelinho Carioca. Na adolescência, ela precisou tomar a primeira decisão importante de sua vida: escolher entre a carreira de atleta e a de modelo. Para a sorte do esporte brasileiro, Erika ficou com a primeira opção. Após atuar como meio-campista e atacante, firmou-se como zagueira da seleção brasileira e disputou os Jogos Olímpicos Pequim 2008, Londres 2012 e Rio 2016."
"1649262277-428","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Domingos Maracanã","Vôlei","Domingos Maracanã
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/domingos-lampariello-neto/","Oito ídolos do vôlei brasileiro terão direito a voto na eleição da entidade em 2021","Domingos recebeu o apelido de Maracanã na seleção brasileira infanto-juvenil, pois era o jogador mais alto da equipe. O central participou de dois ciclos olímpicos completos com a seleção adulta, participando de Los Angeles 1984 e Seul 1988. Após uma breve passagem pelo vôlei de praia, no início dos anos 1990, Domingos Maracanã abriu uma empresa de marketing esportivo, foi comentarista de televisão e até se aventurou na Federação Paulista de Futebol (FPF), cuidando de um projeto social na Zona Oeste de São Paulo."
